metric,value
classification.0.75.n,44385
classification.0.75.sources,30
classification.0.75.prevalence,0.002461127212794187
classification.0.75.log_loss,0.015225639078587311
classification.0.75.brier,0.002444951223980497
classification.0.75.average_precision,0.016261163662760647
classification.0.75.threshold,0.012936098501086235
classification.0.75.recall,0.3066351269895116
classification.0.75.false_positive_rate,0.04170538383197781
classification.0.75.precision,0.017816671557182865
classification.0.75.auroc,0.908724041426472
classification.0.75.f1,0.033676603858806664
classification.0.75.balanced_accuracy,0.6324648715787669
classification.0.75.horizon_ps,0.75
classification.0.75.ece_10bin,0.001412694928033625
classification.3.0.n,44385
classification.3.0.sources,30
classification.3.0.prevalence,0.00884508151496356
classification.3.0.log_loss,0.04627272077953801
classification.3.0.brier,0.008684283780503175
classification.3.0.average_precision,0.0408376522430996
classification.3.0.threshold,0.04353581368923187
classification.3.0.recall,0.29726163986308995
classification.3.0.false_positive_rate,0.04267006674069635
classification.3.0.precision,0.058530483167355936
classification.3.0.auroc,0.8282875494246713
classification.3.0.f1,0.09780355596471905
classification.3.0.balanced_accuracy,0.6272957865611968
classification.3.0.horizon_ps,3.0
classification.3.0.ece_10bin,0.005666833725388557
classification.9.0.n,44385
classification.9.0.sources,30
classification.9.0.prevalence,0.031243024276521238
classification.9.0.log_loss,0.13385288331763895
classification.9.0.brier,0.029932154022693055
classification.9.0.average_precision,0.07484145767044721
classification.9.0.threshold,0.09699537605047226
classification.9.0.recall,0.13712215017277377
classification.9.0.false_positive_rate,0.04250368024700745
classification.9.0.precision,0.09423944231510206
classification.9.0.auroc,0.7229757336459026
classification.9.0.f1,0.11170665642792073
classification.9.0.balanced_accuracy,0.5473092349628831
classification.9.0.horizon_ps,9.0
classification.9.0.ece_10bin,0.014222213275985496
classification.24.0.n,44385
classification.24.0.sources,30
classification.24.0.prevalence,0.09117904843080055
classification.24.0.log_loss,0.3065812127453376
classification.24.0.brier,0.0833632534100145
classification.24.0.average_precision,0.12402248958004489
classification.24.0.threshold,0.18264062702655792
classification.24.0.recall,0.09342561192442783
classification.24.0.false_positive_rate,0.04954786410551671
classification.24.0.precision,0.15907902589923972
classification.24.0.auroc,0.6091771329860824
classification.24.0.f1,0.11771708802716759
classification.24.0.balanced_accuracy,0.5219388739094556
classification.24.0.horizon_ps,24.0
classification.24.0.ece_10bin,0.03703577301140267
classification.48.0.n,44385
classification.48.0.sources,30
classification.48.0.prevalence,0.18840006848320362
classification.48.0.log_loss,0.49464849133593947
classification.48.0.brier,0.15731902259723307
classification.48.0.average_precision,0.20453443823693385
classification.48.0.threshold,0.33479851484298706
classification.48.0.recall,0.05745020519155185
classification.48.0.false_positive_rate,0.05175183331014798
classification.48.0.precision,0.20489425855393503
classification.48.0.auroc,0.5519152173569208
classification.48.0.f1,0.08973863620704628
classification.48.0.balanced_accuracy,0.5028491859407019
classification.48.0.horizon_ps,48.0
classification.48.0.ece_10bin,0.06951914493781015
classification.96.0.n,44385
classification.96.0.sources,30
classification.96.0.prevalence,0.36752480433082907
classification.96.0.log_loss,0.681175005828027
classification.96.0.brier,0.2442176505075556
classification.96.0.average_precision,0.38539747829909643
classification.96.0.threshold,0.6038808226585388
classification.96.0.recall,0.049385817040307964
classification.96.0.false_positive_rate,0.052068231310398956
classification.96.0.precision,0.3553184801072909
classification.96.0.auroc,0.5516636202343774
classification.96.0.f1,0.08671859218346385
classification.96.0.balanced_accuracy,0.4986587928649544
classification.96.0.horizon_ps,96.0
classification.96.0.ece_10bin,0.11201205136982151
timing.0.75.horizon_ps,0.75
timing.0.75.true_events,68
timing.0.75.missed_windows,46
timing.0.75.detected_window_timing_mae_ps,0.375
timing.0.75.detected_window_timing_bias_ps,-0.375
timing.0.75.timed_within_3ps_recall,0.3235294117647059
timing.0.75.alarm_episodes,692
timing.0.75.false_alarm_episodes,678
timing.0.75.observable_event_centers,68
timing.0.75.detected_event_centers,14
timing.0.75.missed_event_centers,54
timing.0.75.event_recall,0.20588235294117646
timing.0.75.false_alarms_per_sampled_center_ns,5.091810296271262
timing.0.75.mean_detected_lead_ps,0.75
timing.3.0.horizon_ps,3.0
timing.3.0.true_events,274
timing.3.0.missed_windows,192
timing.3.0.detected_window_timing_mae_ps,0.6617062379557378
timing.3.0.detected_window_timing_bias_ps,-0.2708850331497229
timing.3.0.timed_within_3ps_recall,0.29927007299270075
timing.3.0.alarm_episodes,622
timing.3.0.false_alarm_episodes,562
timing.3.0.observable_event_centers,274
timing.3.0.detected_event_centers,60
timing.3.0.missed_event_centers,214
timing.3.0.event_recall,0.21897810218978103
timing.3.0.false_alarms_per_sampled_center_ns,4.2206451128384215
timing.3.0.mean_detected_lead_ps,1.775
timing.9.0.horizon_ps,9.0
timing.9.0.true_events,974
timing.9.0.missed_windows,831
timing.9.0.detected_window_timing_mae_ps,2.1041077694170665
timing.9.0.detected_window_timing_bias_ps,-0.07840946271885273
timing.9.0.timed_within_3ps_recall,0.11601642710472279
timing.9.0.alarm_episodes,636
timing.9.0.false_alarm_episodes,532
timing.9.0.observable_event_centers,378
timing.9.0.detected_event_centers,104
timing.9.0.missed_event_centers,274
timing.9.0.event_recall,0.2751322751322751
timing.9.0.false_alarms_per_sampled_center_ns,3.995343772295445
timing.9.0.mean_detected_lead_ps,3.8798076923076925
timing.24.0.horizon_ps,24.0
timing.24.0.true_events,2883
timing.24.0.missed_windows,2622
timing.24.0.detected_window_timing_mae_ps,5.796864275400835
timing.24.0.detected_window_timing_bias_ps,0.6865778996348012
timing.24.0.timed_within_3ps_recall,0.018036767256330213
timing.24.0.alarm_episodes,1223
timing.24.0.false_alarm_episodes,1034
timing.24.0.observable_event_centers,397
timing.24.0.detected_event_centers,158
timing.24.0.missed_event_centers,239
timing.24.0.event_recall,0.3979848866498741
timing.24.0.false_alarms_per_sampled_center_ns,7.765386204047914
timing.24.0.mean_detected_lead_ps,9.863924050632912
timing.48.0.horizon_ps,48.0
timing.48.0.true_events,6014
timing.48.0.missed_windows,5691
timing.48.0.detected_window_timing_mae_ps,10.73137740838223
timing.48.0.detected_window_timing_bias_ps,-0.4367830438482282
timing.48.0.timed_within_3ps_recall,0.007981376787495843
timing.48.0.alarm_episodes,1696
timing.48.0.false_alarm_episodes,1437
timing.48.0.observable_event_centers,402
timing.48.0.detected_event_centers,163
timing.48.0.missed_event_centers,239
timing.48.0.event_recall,0.4054726368159204
timing.48.0.false_alarms_per_sampled_center_ns,10.791934212008561
timing.48.0.mean_detected_lead_ps,28.41717791411043
timing.96.0.horizon_ps,96.0
timing.96.0.true_events,12127
timing.96.0.missed_windows,11581
timing.96.0.detected_window_timing_mae_ps,25.03387281095516
timing.96.0.detected_window_timing_bias_ps,-5.857979025526886
timing.96.0.timed_within_3ps_recall,0.002226436876391523
timing.96.0.alarm_episodes,1649
timing.96.0.false_alarm_episodes,1229
timing.96.0.observable_event_centers,409
timing.96.0.detected_event_centers,200
timing.96.0.missed_event_centers,209
timing.96.0.event_recall,0.4889975550122249
timing.96.0.false_alarms_per_sampled_center_ns,9.22984491757726
timing.96.0.mean_detected_lead_ps,65.6025
spatial.0.75.horizon_ps,0.75
spatial.0.75.sampled_center_fraction_mae,0.008758669403062583
spatial.0.75.sampled_center_jaccard,0.013569195794259732
spatial.0.75.nearby_pair_difference_rmse,0.040061232576536
spatial.0.75.nearby_pairs,16736
spatial.3.0.horizon_ps,3.0
spatial.3.0.sampled_center_fraction_mae,0.03022358792683661
spatial.3.0.sampled_center_jaccard,0.05058365758754864
spatial.3.0.nearby_pair_difference_rmse,0.08522534646713356
spatial.3.0.nearby_pairs,16736
spatial.9.0.horizon_ps,9.0
spatial.9.0.sampled_center_fraction_mae,0.07708711795893892
spatial.9.0.sampled_center_jaccard,0.05562352436145095
spatial.9.0.nearby_pair_difference_rmse,0.15205506770183405
spatial.9.0.nearby_pairs,16736
spatial.24.0.horizon_ps,24.0
spatial.24.0.sampled_center_fraction_mae,0.1655684565002433
spatial.24.0.sampled_center_jaccard,0.05027631648865508
spatial.24.0.nearby_pair_difference_rmse,0.23809922595596122
spatial.24.0.nearby_pairs,16736
spatial.48.0.horizon_ps,48.0
spatial.48.0.sampled_center_fraction_mae,0.2658294855962247
spatial.48.0.sampled_center_jaccard,0.029233855370219004
spatial.48.0.nearby_pair_difference_rmse,0.3029240370964811
spatial.48.0.nearby_pairs,16736
spatial.96.0.horizon_ps,96.0
spatial.96.0.sampled_center_fraction_mae,0.3655201725872627
spatial.96.0.sampled_center_jaccard,0.026135788356146297
spatial.96.0.nearby_pair_difference_rmse,0.3694725679698498
spatial.96.0.nearby_pairs,16736
test_event_nll,1.1368098718741861
best_selection_nll,1.1167306242899888
